Company Name,CIK
"Crimson Wine Group, Ltd",1562151
Criteo S.A.,1576427
"Crocs, Inc.",1334036
CrossAmerica Partners LP,1538849
Crow Street Acquisition Corp,1681297
"Crowd 4 Seeds, Inc.",1636509
"Crown Equity Holdings, Inc.",1103833
"Cryoport, Inc.",1124524
CubeSmart,1298675
"CubeSmart, L.P.",1300485
"CurAegis Technologies, Inc.",1063197
"Customers Bancorp, Inc.",1488813
"Cyalume Technologies Holdings, Inc.",1335293
"Cyberfort Software, Inc.",1522787
"Cyberspace Vita, Inc.",1381240
"Cyclacel Pharmaceuticals, Inc.",1130166
"CymaBay Therapeutics, Inc.",1042074
"Cypress Energy Partners, L.P.",1587246
CyrusOne Inc.,1553023
CytoDyn Inc.,1175680
"CytomX Therapeutics, Inc.",1501989
Cytosorbents Corp,1175151
DAIS ANALYTIC CORP,1125699
"DAKOTA PLAINS HOLDINGS, INC.",1367311
DAKOTA TERRITORY RESOURCE CORP,1182737
DANA INC,26780
DANAHER CORP /DE/,313616
DARDEN RESTAURANTS INC,940944
DARLING INGREDIENTS INC.,916540
DASAN ZHONE SOLUTIONS INC,1101680
DATA I/O CORP,351998
DATALINK CORP,1056923
DATASEA INC.,1631282
DAVEY TREE EXPERT CO,277638
DAVITA INC.,927066
DAWSON GEOPHYSICAL CO,799165
"DAYBREAK OIL & GAS, INC.",1164256
DAYTON POWER & LIGHT CO,27430
DCB FINANCIAL CORP,1025877
DCP Holding CO,1361025
"DCP Midstream Partners, LP",1338065
DCT Industrial Operating Partnership LP,1604042
DCT Industrial Trust Inc.,1170991
"DD's Deluxe Rod Holder, Inc.",1643194
DDR CORP,894315
DEAN FOODS CO,931336
DEBT RESOLVE INC,1106645
DECKERS OUTDOOR CORP,910521
"DELCATH SYSTEMS, INC.",872912
DELMARVA POWER & LIGHT CO /DE/,27879
DELTA AIR LINES INC /DE/,27904
DELTA NATURAL GAS CO INC,277375
DELTIC TIMBER CORP,1022469
DELUXE CORP,27996
DEMAND MEDIA INC.,1365038
DENBURY RESOURCES INC,945764
DENNYS CORP,852772
DENTSPLY SIRONA Inc.,818479
DEPOMED INC,1005201
"DERMA SCIENCES, INC.",892160
"DESTINATION XL GROUP, INC.",813298
"DETERMINE, INC.",1090908
DETONICS SMALL ARMS LTD,351397
DEVON ENERGY CORP/DE,1090012
DEVRY EDUCATION GROUP INC.,730464
DEWEY ELECTRONICS CORP,28561
DEXCOM INC,1093557
DEXTERA SURGICAL INC,1178104
DGSE COMPANIES INC,701719
"DHI GROUP, INC.",1393883
DIAMOND HILL INVESTMENT GROUP INC,909108
DIAMOND OFFSHORE DRILLING INC,949039
DIAMONDHEAD CASINO CORP,844887
DICKS SPORTING GOODS INC,1089063
DIEBOLD INC,28823
"DIEGO PELLICER WORLDWIDE, INC",1559172
DIGIRAD CORP,707388
DIGITAL ALLY INC,1342958
DIGITAL POWER CORP,896493
"DIGITALGLOBE, INC.",1208208
DIME COMMUNITY BANCSHARES INC,1005409
DIODES INC /DEL/,29002
DIRECTVIEW HOLDINGS INC,1441769
DISH DBS CORP,1042642
DISH Network CORP,1001082
DIVALL INSURED INCOME PROPERTIES 2 LIMITED PARTNERSHIP,825788
DIVERSIFIED 2000 FUTURES FUND L.P.,1095007
DIXIE GROUP INC,29332
DJO Finance LLC,1395317
"DMH INTERNATIONAL, INC.",1496819
DNA Testing Centers Corp,1620070
DNB FINANCIAL CORP /PA/,713671
DOCUMENT SECURITY SYSTEMS INC,771999
DOLPHIN DIGITAL MEDIA INC,1282224
DOMINION RESOURCES INC /VA/,715957
DOMINOS PIZZA INC,1286681
DONEGAL GROUP INC,800457
"DORCHESTER MINERALS, L.P.",1172358
DORIAN LPG LTD.,1596993
"DOUGLAS DYNAMICS, INC",1287213
DOVER Corp,29905
DOVER DOWNS GAMING & ENTERTAINMENT INC,1162556
DOVER MOTORSPORTS INC,1017673
DOW CHEMICAL CO /DE/,29915
DPL INC,787250
DREW INDUSTRIES Inc,763744
DRIL-QUIP INC,1042893
DRONE AVIATION HOLDING CORP.,1178727
"DS HEALTHCARE GROUP, INC.",1463959
DSP GROUP INC /DE/,915778
DST SYSTEMS INC,714603
DSwiss Inc,1652561
DTE ENERGY CO,936340
DTE Electric Co,28385
"DTS, INC.",1226308
DUCOMMUN INC /DE/,30305
"DUKE ENERGY FLORIDA, LLC.",37637
"DUKE ENERGY PROGRESS, LLC.",17797
DUKE REALTY CORP,783280
DUKE REALTY LIMITED PARTNERSHIP/,1003410
DUN & BRADSTREET CORP/NW,1115222
"DUNKIN' BRANDS GROUP, INC.",1357204
DUO WORLD INC,1635136
"DUOS TECHNOLOGIES GROUP, INC.",1396536
DUPONT E I DE NEMOURS & CO,30554
"DUPONT FABROS TECHNOLOGY, INC.",1407739
DURECT CORP,1082038
DXP ENTERPRISES INC,1020710
DYCOM INDUSTRIES INC,67215
DYNAMIC MATERIALS CORP,34067
DYNARESOURCE INC,1111741
DYNATRONICS CORP,720875
DYNAVAX TECHNOLOGIES CORP,1029142
DYNEGY INC.,1379895
DYNEX CAPITAL INC,826675
"DanDrit Biotech USA, Inc.",1527728
DarioHealth Corp.,1533998
"Data Backup Solutions, Inc.",1619227
Data Call Technologies,1321828
Data Storage Corp,1419951
"Deep Down, Inc.",1110607
"Del Frisco's Restaurant Group, Inc.",1415301
"Del Taco Restaurants, Inc.",1585583
"DelMar Pharmaceuticals, Inc.",1498382
"Delanco Bancorp, Inc.",1577603
"Delek Logistics Partners, LP",1552797
"Delek US Holdings, Inc.",1351541
Delphi Automotive PLC,1521332
Delta International Oil & Gas Inc.,1112985
"Delta Tucker Holdings, Inc.",1514226
"Demand Pooling, Inc.",1444145
"Dermira, Inc.",1557883
Deseo Swimwear Inc.,1670196
"Devago, Inc.",1627611
Diamond Island Acquisition Corp,1672898
DiamondRock Hospitality Co,1298946
"Diamondback Energy, Inc.",1539838
Dicerna Pharmaceuticals Inc,1399529
Differential Brands Group Inc.,844143
Diffusion Pharmaceuticals Inc.,1053691
Digimarc CORP,1438231
"Digital Development Partners, Inc.",1409999
"Digital Realty Trust, Inc.",1297996
"Digital Realty Trust, L.P.",1494877
"Digital Turbine, Inc.",317788
"DigitalTown, Inc.",1065598
"Dimension Therapeutics, Inc.",1592288
"DineEquity, Inc",49754
"Dipexium Pharmaceuticals, Inc.",1497504
"Diplomat Pharmacy, Inc.",1610092
Discover Financial Services,1393612
"Discovery Communications, Inc.",1437107
Discovery Energy Corp.,1435387
"Diversicare Healthcare Services, Inc.",919956
Diversified Resources Inc.,1509692
"Diversified Restaurant Holdings, Inc.",1394156
Dividend Capital Diversified Property Fund Inc.,1327978
Doers Education Asean Ltd,1672885
Domain Extremes Inc.,1469038
"Dominion Gas Holdings, LLC",1603291
"Dominion Midstream Partners, LP",1603286
Domtar CORP,1381531
Dongxing International Inc.,1500861
"Donnelley Financial Solutions, Inc.",1669811
"Dorman Products, Inc.",868780
Double Eagle Acquisition Corp.,1647088
Douglas Emmett Inc,1364250
Dove Street Acquisition Corp,1681282
"Dr Pepper Snapple Group, Inc.",1418135
DuPont Fabros Technology LP,1418175
Duke Energy CORP,1326160
"Duke Energy Carolinas, LLC",30371
"Duke Energy Indiana, LLC",81020
"Duke Energy Ohio, Inc.",20290
Duonas Corp.,1680935
Dutch Oven Gold Group Inc.,1411168
Dynamic Enviro Inc.,1643930
Dynamic Gold Corp.,1304730
E DIGITAL CORP,886328
E TRADE FINANCIAL Corp,1015780
E-Compass Acquisition Corp.,1625042
E-Qure Corp.,1563536
E-WASTE CORP.,1543066
E.W. SCRIPPS Co,832428
EAGLE BANCORP INC,1050441
EAGLE FINANCIAL SERVICES INC,880641
EAGLE MATERIALS INC,918646
"EAGLE PHARMACEUTICALS, INC.",827871
EARTHSTONE ENERGY INC,10254
EAST WEST BANCORP INC,1069157
EASTERN CO,31107
EASTERN VIRGINIA BANKSHARES INC,1047170
EASTGROUP PROPERTIES INC,49600
EASTMAN CHEMICAL CO,915389
EASTMAN KODAK CO,31235
EBAY INC,1065088
EBIX INC,814549
ECA Marcellus Trust I,1487798
ECHELON CORP,31347
"ECO Building Products, Inc.",1409885
"ECO ENERGY TECH ASIA, LTD",1650505
ECOLAB INC.,31462
"ECOSCIENCES, INC.",1493174
ECOSPHERE TECHNOLOGIES INC,1071760
EDGEWATER TECHNOLOGY INC/DE/,1017968
EDISON INTERNATIONAL,827052
EDUCATION REALTY OPERATING PARTNERSHIP L P,1351345
EDUCATIONAL DEVELOPMENT CORP,31667
"EFT Holdings, Inc.",1450973
EGAIN Corp,1066194
"EKSO BIONICS HOLDINGS, INC.",1549084
EL PASO ELECTRIC CO /TX/,31978
ELECTRO SCIENTIFIC INDUSTRIES INC,726514
ELECTRO SENSORS INC,351789
ELECTRONIC ARTS INC.,712515
ELECTRONIC SYSTEMS TECHNOLOGY INC,752294
ELECTRONICS FOR IMAGING INC,867374
ELITE GROUP INC.,1607281
ELITE PHARMACEUTICALS INC /NV/,1053369
ELLIE MAE INC,1122388
"ELRAY RESOURCES, INC.",1402371
EMAGIN CORP,1046995
EMC INSURANCE GROUP INC,356130
EMCLAIRE FINANCIAL CORP,858800
EMCOR GROUP INC,105634
"EMERGENT CAPITAL, INC.",1494448
EMERGING CTA PORTFOLIO LP,1269190
EMERSON RADIO CORP,32621
EMISPHERE TECHNOLOGIES INC,805326
"EMMAUS LIFE SCIENCES, INC.",1420031
EMMIS COMMUNICATIONS CORP,783005
EMPIRE DISTRICT ELECTRIC CO,32689
EMPIRE PETROLEUM CORP,887396
EMPIRE RESORTS INC,906780
EMPIRE RESOURCES INC /NEW/,1019272
"EMS FIND, INC.",1520118
ENB Financial Corp,1437479
ENBRIDGE ENERGY MANAGEMENT L L C,1173911
ENBRIDGE ENERGY PARTNERS LP,880285
ENCISION INC,930775
ENCORE CAPITAL GROUP INC,1084961
ENCORE WIRE CORP,850460
ENDOCYTE INC,1235007
ENDOLOGIX INC /DE/,1013606
"ENDONOVO THERAPEUTICS, INC.",1528172
ENDURANCE SPECIALTY HOLDINGS LTD,1179755
ENERGEN CORP,277595
ENERGY & TECHNOLOGY CORP.,1432963
"ENERGY FOCUS, INC/DE",924168
ENERGY FUELS INC,1385849
ENERNOC INC,1244937
ENERTECK CORP,1128353
ENGLOBAL CORP,933738
"ENNIS, INC.",33002
"ENPRO INDUSTRIES, INC",1164863
"ENSIGN GROUP, INC",1125376
ENTEGRIS INC,1101302
ENTELLUS MEDICAL INC,1374128
ENTERCOM COMMUNICATIONS CORP,1067837
ENTERGY ARKANSAS INC,7323
ENTERGY CORP /DE/,65984
ENTERGY MISSISSIPPI INC,66901
ENTERGY NEW ORLEANS INC,71508
ENTERPRISE BANCORP INC /MA/,1018399
ENTERPRISE FINANCIAL SERVICES CORP,1025835
ENTERPRISE PRODUCTS PARTNERS L P,1061219
ENTRAVISION COMMUNICATIONS CORP,1109116
"ENVESTNET, INC.",1337619
ENVIRO VORAXIAL TECHNOLOGY INC,1043894
"ENVIROMART COMPANIES, INC.",1552743
ENXNET INC,1083706
"ENZON PHARMACEUTICALS, INC.",727510
EOG RESOURCES INC,821189
EOS INC.,1651958
EP Energy Corp,1584952
EP Energy LLC,1555082
"EPAM Systems, Inc.",1352010
EPLUS INC,1022408
EPR PROPERTIES,1045450
EQT Corp,33213
"EQT GP Holdings, LP",1632933
"EQT Midstream Partners, LP",1540947
EQUIFAX INC,33185
EQUINIX INC,1101239
EQUITY BANCSHARES INC,1227500
EQUITY LIFESTYLE PROPERTIES INC,895417
"EQUITY ONE, INC.",1042810
EQUITY RESIDENTIAL,906107
"EQUUS TOTAL RETURN, INC.",878932
ERA GROUP INC.,1525221
ERIE INDEMNITY CO,922621
EROOMSYSTEM TECHNOLOGIES INC,1110361
ERP OPERATING LTD PARTNERSHIP,931182
ESCALADE INC,33488
ESCALON MEDICAL CORP,862668
"ESH Hospitality, Inc.",1507563
ESPEY MFG & ELECTRONICS CORP,33533
ESSENDANT INC,355999
ESSEX PORTFOLIO LP,1053059
ESSEX PROPERTY TRUST INC,920522
ESTEE LAUDER COMPANIES INC,1001250
ETF Managers Group Commodity Trust I,1610940
ETFS Gold Trust,1450923
ETFS PALLADIUM TRUST,1459862
ETFS Platinum Trust,1460235
ETFS Precious Metals Basket Trust,1483386
ETFS SILVER TRUST,1450922
ETHAN ALLEN INTERIORS INC,896156
"ETP Retail Holdings, LLC",1638058
ETSY INC,1370637
EURONET WORLDWIDE INC,1029199
EUROSITE POWER INC.,1528103
"EV Energy Partners, LP",1361937
EVANS & SUTHERLAND COMPUTER CORP,276283
EVANS BANCORP INC,842518
"EVERBRIDGE, INC.",1437352
EVEREST FUND L P,837919
EVEREST RE GROUP LTD,1095073
EVEREST REINSURANCE HOLDINGS INC,914748
EVERFLOW EASTERN PARTNERS LP,868082
EVERSOURCE ENERGY,72741
EVERSPIN TECHNOLOGIES INC,1438423
"EVERTEC, Inc.",1559865
EVOLUTION PETROLEUM CORP,1006655
"EVOLUTIONARY GENOMICS, INC.",884363
EVOLVING SYSTEMS INC,1052054
EXACT SCIENCES CORP,1124140
EXACTECH INC,913165
EXAR CORP,753568
EXCALIBUR INDUSTRIES,201779
EXCO RESOURCES INC,316300
"EXELIXIS, INC.",939767
EXELON CORP,1109357
EXELON GENERATION CO LLC,1168165
"EXP World Holdings, Inc.",1495932
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,746515
EXPONENT INC,851520
EXTREME NETWORKS INC,1078271
EXXON MOBIL CORP,34088
EYEGATE PHARMACEUTICALS INC,1372514
"EZJR, Inc.",1402453
EZTD Inc,1175442
"Eagle Bancorp Montana, Inc.",1478454
Eagle Bulk Shipping Inc.,1322439
"Earth Gen-Biofuel, Inc.",1614924
EarthLink Holdings Corp.,1102541
"Eason Education Kingdom Holdings, Inc.",1132509
Easterly Acquisition Corp.,1641197
"Easterly Government Properties, Inc.",1622194
"Eastside Distilling, Inc.",1534708
Eaton Corp plc,1551182
"Echo Global Logistics, Inc.",1426945
"Echo Therapeutics, Inc.",1031927
EchoStar CORP,1415404
Eclipse Resources Corp,1600470
"Eco-Stim Energy Solutions, Inc.",1135657
"Ecoark Holdings, Inc.",1437491
"Edge Therapeutics, Inc.",1472091
"Edgewater Bancorp, Inc.",1584770
"Editas Medicine, Inc.",1650664
"Education Realty Trust, Inc.",1302343
Edwards Lifesciences Corp,1099800
Egalet Corp,1586105
"Eiger BioPharmaceuticals, Inc.",1305253
Eight Dragons Co.,1100778
"El Pollo Loco Holdings, Inc.",1606366
"Eldorado Resorts, Inc.",1590895
"Electromed, Inc.",1488917
"Electronic Cigarettes International Group, Ltd.",1398702
Electrum Special Acquisition Corp,1639669
"Eleven Biotherapeutics, Inc.",1485003
EliteSoft Global Inc.,1612254
Ellington Financial LLC,1411342
Ellington Residential Mortgage REIT,1560672
"Embassy Bancorp, Inc.",1449794
Emerald Medical Applications Corp.,797542
Emerge Energy Services LP,1555177
Emergent BioSolutions Inc.,1367644
"Empire Global Gaming, Inc.",1501862
"Empire State Realty OP, L.P.",1553079
"Empire State Realty Trust, Inc.",1541401
"Employers Holdings, Inc.",1379041
"EnLink Midstream Partners, LP",1179060
"EnLink Midstream, LLC",1592000
"EnSync, Inc.",1140310
"Enable Midstream Partners, LP",1591763
Endo International plc,1593034
"EndoChoice Holdings, Inc.",1623919
"Endurance Exploration Group, Inc.",1392902
"Endurance International Group Holdings, Inc.",1237746
Enduro Royalty Trust,1520048
"Ener-Core, Inc.",1495536
"EnerJex Resources, Inc.",8504
EnerSys,1289308
"Energie Holdings, Inc.",774937
"Energizer Resources, Inc.",1302084
Energous Corp,1575793
"Energy 11, L.P.",1581552
Energy Future Holdings Corp /TX/,1023291
"Energy Recovery, Inc.",1421517
"Energy Transfer Equity, L.P.",1276187
"Energy Transfer Partners, L.P.",1012569
Energy XXI Ltd,1343719
EnergyTEK Corp.,748268
"Engility Holdings, Inc.",1544229
"Enova International, Inc.",1529864
"Enphase Energy, Inc.",1463101
Ensco plc,314808
Enservco Corp,319458
Enstar Group LTD,1363829
Entegra Financial Corp.,1522327
"Entergy Louisiana, LLC",1348952
"Entergy Texas, Inc.",1427437
EnteroMedics Inc,1371217
Entertainment Gaming Asia Inc.,1004673
"Entia Biosciences, Inc.",1408299
"Enumeral Biomedical Holdings, Inc.",1561551
"EnviroStar, Inc.",65312
"Envision Healthcare Holdings, Inc.",1578318
"Envision Solar International, Inc.",1398805
"Enviva Partners, LP",1592057
EnzymeBioSystems,1471968
"Eos Petro, Inc.",1419583
"Epizyme, Inc.",1571498
"Epoxy, Inc.",1428816
Equinox Frontier Balanced Fund,1389122
Equinox Frontier Diversified Fund,1450720
Equinox Frontier Funds,1261379
Equinox Frontier Heritage Fund,1389123
Equinox Frontier Long/Short Commodity Fund,1389128
Equinox Frontier Masters Fund,1450722
Equinox Frontier Select Fund,1389125
Equinox Frontier Winton Fund,1389124
Equitable Financial Corp.,1635626
Equity Commonwealth,803649
Erin Energy Corp.,1402281
"Esperion Therapeutics, Inc.",1434868
Essent Group Ltd.,1448893
Evans Brewing Co Inc.,1580490
"Ever-Glory International Group, Inc.",943184
EverBank Financial Corp,1502749
Evercore Partners Inc.,1360901
"Evergreen-Agra, Inc.",1438673
Everi Holdings Inc.,1318568
"Everyday Health, Inc.",1358483
EverythingAmped Corp,1634413
Evoke Pharma Inc,1403708
"Evolent Health, Inc.",1628908
ExOne Co,1561627
"Exactus, Inc.",1552189
"Exceed World, Inc.",1634293
Excel Corp,1512890
"Exeo Entertainment, Inc.",1528760
"ExlService Holdings, Inc.",1297989
"Expedia, Inc.",1324424
Express Scripts Holding Co.,1532063
"Exquisite Acquisition, Inc.",1627469
"Extended Stay America, Inc.",1581164
Extra Space Storage Inc.,1289490
"Extraction Oil & Gas, Inc.",1655020
Ezy Cloud Holding Inc.,1497251
F&M BANK CORP,740806
FAIRMOUNT SANTROL HOLDINGS INC.,1010858
FAIRPOINT COMMUNICATIONS INC,1062613
FALCONSTOR SOFTWARE INC,922521
FAMOUS DAVES OF AMERICA INC,1021270
FARMER BROTHERS CO,34563
FARMERS & MERCHANTS BANCORP,1085913
FARMERS & MERCHANTS BANCORP INC,792966
FARMERS CAPITAL BANK CORP,713095
FARMERS NATIONAL BANC CORP /OH/,709337
FARO TECHNOLOGIES INC,917491
FASTENAL CO,815556
FATE THERAPEUTICS INC,1434316
"FAUQUIER BANKSHARES, INC.",1083643
FB Financial Corp,1649749
FBL FINANCIAL GROUP INC,1012771
FBR & Co.,1371446
"FCB FINANCIAL HOLDINGS, INC.",1476651
FCCC INC,730669
FEDERAL AGRICULTURAL MORTGAGE CORP,845877
FEDERAL HOME LOAN MORTGAGE CORP,1026214
FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,310522
FEDERAL REALTY INVESTMENT TRUST,34903
FEDERAL SIGNAL CORP /DE/,277509
FEDERATED INVESTORS INC /PA/,1056288
FEDERATED NATIONAL HOLDING CO,1069996
FENNEC PHARMACEUTICALS INC.,1211583
FERRO CORP,35214
FIBROGEN INC,921299
FIDELITY D & D BANCORP INC,1098151
FIDELITY SOUTHERN CORP,822662
FIDUS INVESTMENT Corp,1513363
FIELDPOINT PETROLEUM CORP,316736
FIFTH THIRD BANCORP,35527
FINANCIAL INSTITUTIONS INC,862831
FINDEX COM INC,1089061
"FINJAN HOLDINGS, INC.",1366340
FIRST ACCEPTANCE CORP /DE/,1017907
FIRST BANCORP /NC/,811589
FIRST BANCORP /PR/,1057706
FIRST BANCSHARES INC /MS/,947559
FIRST BUSEY CORP /NV/,314489
"FIRST BUSINESS FINANCIAL SERVICES, INC.",1521951
FIRST CAPITAL INC,1070296
FIRST CITIZENS BANCSHARES INC /DE/,798941
FIRST COMMONWEALTH FINANCIAL CORP /PA/,712537
FIRST COMMUNITY BANCSHARES INC /NV/,859070
FIRST COMMUNITY CORP /SC/,932781
FIRST DATA CORP,883980
FIRST DEFIANCE FINANCIAL CORP,946647
FIRST EQUITY PROPERTIES INC,726516
FIRST FINANCIAL BANCORP /OH/,708955
FIRST FINANCIAL BANKSHARES INC,36029
FIRST FINANCIAL CORP /IN/,714562
FIRST HARTFORD CORP,36369
"FIRST HAWAIIAN, INC.",36377
FIRST HORIZON NATIONAL CORP,36966
FIRST INDUSTRIAL LP,1033128
FIRST INDUSTRIAL REALTY TRUST INC,921825
FIRST INTERSTATE BANCSYSTEM INC,860413
FIRST KEYSTONE CORP,737875
FIRST MERCHANTS CORP,712534
FIRST MID ILLINOIS BANCSHARES INC,700565
FIRST MIDWEST BANCORP INC,702325
FIRST NATIONAL CORP /VA/,719402
FIRST NORTHERN COMMUNITY BANCORP,1114927
FIRST OF LONG ISLAND CORP,740663
FIRST POTOMAC REALTY TRUST,1254595
FIRST PRIORITY FINANCIAL CORP.,1389772
FIRST RATE STAFFING Corp,1522215
"FIRST SOLAR, INC.",1274494
FIRST SOUTH BANCORP INC /VA/,1027183
FIRST UNITED CORP/MD/,763907
FIRST US BANCSHARES INC,717806
"FIRSTCASH, INC",840489
FIRSTENERGY CORP,1031296
FISERV INC,798354
FISION Corp,1487931
FITBIT INC,1447599
"FITLIFE BRANDS, INC.",1374328
"FITWEISER HOLDINGS, INC.",1540334
FIVE PRIME THERAPEUTICS INC,1175505
"FIVE STAR QUALITY CARE, INC.",1159281
FLAGSTAR BANCORP INC,1033012
FLAMEL TECHNOLOGIES SA,1012477
FLEETCOR TECHNOLOGIES INC,1175454
FLEX LTD.,866374
FLEXIBLE SOLUTIONS INTERNATIONAL INC,1069394
FLEXPOINT SENSOR SYSTEMS INC,925660
FLEXSTEEL INDUSTRIES INC,37472
FLIR SYSTEMS INC,354908
FLORIDA POWER & LIGHT CO,37634
FLOTEK INDUSTRIES INC/CN/,928054
FLOWERS FOODS INC,1128928
FLOWSERVE CORP,30625
FLUIDIGM CORP,1162194
FLUOR CORP,1124198
"FLUOROPHARMA MEDICAL, INC.",1402785
FLURIDA GROUP INC,1430960
FLUSHING FINANCIAL CORP,923139
FMC CORP,37785
FMC TECHNOLOGIES INC,1135152
FNB BANCORP/CA/,1163199
FNB CORP/PA/,37808
"FNCB Bancorp, Inc.",1035976
FOCUS UNIVERSAL INC.,1590418
FONAR CORP,355019
"FOOTHILLS EXPLORATION, INC.",1503458
FORD MOTOR CO,37996
FORD MOTOR CREDIT CO LLC,38009
FOREVERGREEN WORLDWIDE CORP,1091983
FORM Holdings Corp.,1410428
FORMFACTOR INC,1039399
"FORRESTER RESEARCH, INC.",1023313
FORTINET INC,1262039
"FORUM ENERGY TECHNOLOGIES, INC.",1401257
FORWARD AIR CORP,912728
FOSTER L B CO,352825
FOTV Media Networks Inc.,1656589
FOUR OAKS FINCORP INC,1040799
FOX FACTORY HOLDING CORP,1424929
FRANKLIN ELECTRIC CO INC,38725
FRANKLIN FINANCIAL SERVICES CORP /PA/,723646
FRANKLIN STREET PROPERTIES CORP /MA/,1031316
FRANKLIN WIRELESS CORP,722572
FREEPORT-MCMORAN INC,831259
"FREESTONE RESOURCES, INC.",1089319
FRESH DEL MONTE PRODUCE INC,1047340
"FRESH MEDICAL LABORATORIES, INC.",1541884
FRIEDMAN INDUSTRIES INC,39092
FRONTIER COMMUNICATIONS CORP,20520
FRONTIER OILFIELD SERVICES INC,1108645
"FS Bancorp, Inc.",1530249
FS Energy & Power Fund,1501729
FS Energy & Power Fund II,1599750
FS Investment CORP,1422183
FS Investment Corp II,1525759
FS Investment Corp III,1579412
FS Investment Corp IV,1637417
"FSB Bancorp, Inc.",1667939
FSP 303 East Wacker Drive Corp.,1431766
"FTD Companies, Inc.",1575360
"FTE Networks, Inc.",1122063
FTI CONSULTING INC,887936
"FUEL TECH, INC.",846913
FULL HOUSE RESORTS INC,891482
FULLCIRCLE REGISTRY INC,1127993
FULLNET COMMUNICATIONS INC,1092570
FULTON FINANCIAL CORP,700564
FUSION TELECOMMUNICATIONS INTERNATIONAL INC,1071411
"FUTURE WORLD GROUP, INC.",1616156
FUTURELAND CORP.,1424549
FUTURES PORTFOLIO FUND L.P.,861441
FUTUREWORLD CORP.,1273988
FXCM Inc.,1499912
Fabrinet,1408710
Facebook Inc,1326801
"Fantex, Inc.",1573683
Farmland Partners Inc.,1591670
Federal Home Loan Bank of Atlanta,1331465
Federal Home Loan Bank of Boston,1331463
Federal Home Loan Bank of Chicago,1331451
Federal Home Loan Bank of Cincinnati,1326771
Federal Home Loan Bank of Dallas,1331757
Federal Home Loan Bank of Des Moines,1325814
Federal Home Loan Bank of Indianapolis,1331754
Federal Home Loan Bank of New York,1329842
Federal Home Loan Bank of Pittsburgh,1330399
Federal Home Loan Bank of San Francisco,1316944
Federal Home Loan Bank of Topeka,1325878
Federal-Mogul Holdings Corp,1419581
FelCor Lodging LP,1048789
FelCor Lodging Trust Inc,923603
"Fibrocell Science, Inc.",357097
"Fidelity National Financial, Inc.",1331875
"Fidelity National Information Services, Inc.",1136893
"Fiesta Restaurant Group, Inc.",1534992
Fifth Street Asset Management Inc.,1611988
"Financial Engines, Inc.",1430592
Finch Street Acquisition Corp,1681306
"FireEye, Inc.",1370880
First America Resources Corp,1525306
First American Financial Corp,1472787
First American Silver Corp.,1456802
"First Bancorp, Inc /ME/",765207
"First Choice Healthcare Solutions, Inc.",1416876
"First Community Financial Partners, Inc.",1469134
"First Connecticut Bancorp, Inc.",1511198
"First Financial Northwest, Inc.",1401564
First Foundation Inc.,1413837
"First Guaranty Bancshares, Inc.",1408534
First Harvest Corp.,1585755
First Internet Bancorp,1562463
First NBC Bank Holding Co,1496631
First Northwest Bancorp,1556727
First Priority Tax Solutions Inc.,1622408
First Trinity Financial CORP,1395585
FirstEnergy Solutions Corp.,1407703
"Firsthand Technology Value Fund, Inc.",1495584
Five Oaks Investment Corp.,1547546
"Five9, Inc.",1288847
Flagship Global Corp,1486640
FlatWorld Acquisition Corp.,1499573
Fleetmatics Group plc,1526160
"Flex Pharma, Inc.",1615219
"FlexShopper, Inc.",1397047
Flexion Therapeutics Inc,1419600
Flitways Technology Inc.,1582919
"Flux Power Holdings, Inc.",1083743
"Fogo de Chao, Inc.",1627487
Forbes Energy Services Ltd.,1434842
Foresight Energy LP,1540729
"Forest City Realty Trust, Inc.",1647509
Forestar Group Inc.,1406587
"Forterra, Inc.",1678463
Fortive Corp,1659166
"Fortress Biotech, Inc.",1429260
Fortress Investment Group LLC,1380393
Fortress Transportation & Infrastructure Investors LLC,1590364
"Fortune Brands Home & Security, Inc.",1519751
"Fossil Group, Inc.",883569
"Foundation Medicine, Inc.",1488613
"Four Corners Property Trust, Inc.",1650132
Frank's International N.V.,1575828
Franklin Financial Network Inc.,1407067
Franklin Hill Acquisition Corp,1662640
"Free Flow, Inc.",1543652
Freedom Capital Corp/MD,1617572
Freedom Leaf Inc.,1581545
"Freeze Tag, Inc.",1485074
"FreightCar America, Inc.",1320854
"Freshpet, Inc.",1611647
"Friendable, Inc.",1414043
"Frontier Digital Media Group, Inc.",1643542
Fuda Group (USA) Corp,1623013
"Fulgent Genetics, Inc.",1674930
Function(x) Inc.,725876
"Fuse Medical, Inc.",319016
Future Healthcare of America,1552845
FutureFuel Corp.,1337298
G&K SERVICES INC,39648
"GAIA, INC",1089872
"GAIN Capital Holdings, Inc.",1444363
GALECTIN THERAPEUTICS INC,1133416
GALLAGHER ARTHUR J & CO,354190
"GAMCO INVESTORS, INC. ET AL",1060349
GARMIN LTD,1121788
GARTNER INC,749251
GATX CORP,40211
GCI INC,75679
GCP Applied Technologies Inc.,1644440
GENCO SHIPPING & TRADING LTD,1326200
GENERAC HOLDINGS INC.,1474735
GENERAL CABLE CORP /DE/,886035
GENERAL CANNABIS CORP,1477009
GENERAL COMMUNICATION INC,808461
GENERAL DYNAMICS CORP,40533
